name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/1048576/manual_time_mean",5,1.44186e+06,282068,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/1048576/manual_time_median",5,1.42401e+06,273859,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/1048576/manual_time_stddev",5,39196.3,15906.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/4194304/manual_time_mean",5,6.4328e+06,1.92145e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/4194304/manual_time_median",5,6.42403e+06,1.94632e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/4194304/manual_time_stddev",5,101625,40582.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/16777216/manual_time_mean",5,2.99494e+07,6.14782e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/16777216/manual_time_median",5,2.9877e+07,6.15378e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_real/16777216/manual_time_stddev",5,285661,69340,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1/manual_time_mean",5,1.09539e+08,1.09102e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1/manual_time_median",5,247119,77449,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1/manual_time_stddev",5,2.44305e+08,2.43741e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4/manual_time_mean",5,248661,67427.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4/manual_time_median",5,245504,64415,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4/manual_time_stddev",5,11035,5570.69,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16/manual_time_mean",5,245909,65170.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16/manual_time_median",5,245559,64434.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16/manual_time_stddev",5,5421.54,2269.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/64/manual_time_mean",5,242577,64945.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/64/manual_time_median",5,243287,64407.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/64/manual_time_stddev",5,6518.32,1567.65,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/256/manual_time_mean",5,243041,65387.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/256/manual_time_median",5,242971,64776.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/256/manual_time_stddev",5,2016.81,1865.85,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1024/manual_time_mean",5,241960,64537.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1024/manual_time_median",5,239347,64425.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1024/manual_time_stddev",5,6166.56,768.778,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4096/manual_time_mean",5,242551,63803.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4096/manual_time_median",5,241929,63784.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4096/manual_time_stddev",5,5681.95,563.521,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16384/manual_time_mean",5,242180,63590.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16384/manual_time_median",5,240592,63593.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16384/manual_time_stddev",5,3600.98,285.993,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/65536/manual_time_mean",5,266651,67189.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/65536/manual_time_median",5,268603,67173.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/65536/manual_time_stddev",5,5541.07,1909.78,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/262144/manual_time_mean",5,319273,71588.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/262144/manual_time_median",5,317927,71449.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/262144/manual_time_stddev",5,5486.08,931.887,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1048576/manual_time_mean",5,522233,83560.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1048576/manual_time_median",5,521846,84151.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/1048576/manual_time_stddev",5,7674.22,1215.64,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4194304/manual_time_mean",5,1.52777e+06,205819,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4194304/manual_time_median",5,1.5274e+06,214265,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/4194304/manual_time_stddev",5,23609.1,19988.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16777216/manual_time_mean",5,5.19964e+06,517998,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16777216/manual_time_median",5,5.41408e+06,567028,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Prim_vector/16777216/manual_time_stddev",5,457398,86547.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1/manual_time_mean",5,1.08299e+08,1.07464e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1/manual_time_median",5,656535,230239,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1/manual_time_stddev",5,2.40138e+08,2.3975e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4/manual_time_mean",5,543083,161938,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4/manual_time_median",5,539405,161810,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4/manual_time_stddev",5,9028.05,1222.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16/manual_time_mean",5,540130,162158,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16/manual_time_median",5,541623,161698,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16/manual_time_stddev",5,4144.96,3409.87,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/64/manual_time_mean",5,539303,159610,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/64/manual_time_median",5,541776,158841,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/64/manual_time_stddev",5,7350.69,2338.73,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/256/manual_time_mean",5,542185,165888,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/256/manual_time_median",5,538900,163831,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/256/manual_time_stddev",5,13097.1,3961.28,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1024/manual_time_mean",5,548059,170282,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1024/manual_time_median",5,543996,170132,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1024/manual_time_stddev",5,11380.4,2743.04,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4096/manual_time_mean",5,569610,184027,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4096/manual_time_median",5,566124,183745,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4096/manual_time_stddev",5,7685.39,3185.69,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16384/manual_time_mean",5,661906,231096,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16384/manual_time_median",5,660312,231687,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16384/manual_time_stddev",5,6545.06,3100.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/65536/manual_time_mean",5,1.10145e+06,480647,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/65536/manual_time_median",5,1.09821e+06,481986,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/65536/manual_time_stddev",5,8919.4,8476.22,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/262144/manual_time_mean",5,3.74245e+06,2.02012e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/262144/manual_time_median",5,3.75339e+06,2.03077e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/262144/manual_time_stddev",5,63216.5,23549.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1048576/manual_time_mean",5,9.8058e+06,6.84353e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1048576/manual_time_median",5,9.87327e+06,6.8662e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/1048576/manual_time_stddev",5,157281,74961.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4194304/manual_time_mean",5,4.97207e+07,3.93919e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4194304/manual_time_median",5,5.00686e+07,3.98429e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/4194304/manual_time_stddev",5,1.83351e+06,1.19417e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16777216/manual_time_mean",5,1.68047e+08,1.42224e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16777216/manual_time_median",5,1.67786e+08,1.42038e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int1_Rev_vector/16777216/manual_time_stddev",5,1.0525e+06,771369,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_mean",5,177074,47601.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_median",5,178525,47082.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_stddev",5,7236.25,2623.09,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_mean",5,170508,44425.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_median",5,170816,44941.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_stddev",5,1740.82,1126.14,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_mean",5,169890,44221.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_median",5,168902,44227.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_stddev",5,3242.07,904.52,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_mean",5,173647,45745.2,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_median",5,171716,44235.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_stddev",5,8726.2,3368.1,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_mean",5,170526,44358,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_median",5,170044,44458,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_stddev",5,1250.55,322.726,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_mean",5,170860,44942.8,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_median",5,169672,45077.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_stddev",5,3398.94,1282.11,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_mean",5,170121,45081.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_median",5,169936,45577.9,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_stddev",5,1828.87,1173.12,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_mean",5,171063,46467.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_median",5,170842,46562,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_stddev",5,1545.59,707.816,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_mean",5,181851,47405.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_median",5,181507,46474.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_stddev",5,1779.99,1976.55,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_mean",5,226681,52509.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_median",5,226279,52253.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_stddev",5,4469.3,2154.88,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_mean",5,377673,62386.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_median",5,379503,61393.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_stddev",5,3819.93,2071.05,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_mean",5,1.0544e+06,136777,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_median",5,1.04595e+06,139751,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_stddev",5,17413.1,12147.4,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_mean",5,3.70156e+06,382802,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_median",5,3.7093e+06,389241,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_stddev",5,53908.2,17211,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_mean",5,483026,135438,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_median",5,484007,133513,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_stddev",5,11238.3,3122.57,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_mean",5,486644,139700,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_median",5,483969,139386,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_stddev",5,8485.33,2952.87,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_mean",5,478734,138869,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_median",5,480016,136224,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_stddev",5,3594.83,5995.05,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_mean",5,476512,136175,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_median",5,479604,135791,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_stddev",5,5786.68,2670.67,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_mean",5,472723,135896,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_median",5,473227,135238,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_stddev",5,4913.16,3373.04,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_mean",5,481497,141795,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_median",5,481613,141201,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_stddev",5,4096.69,2430.54,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_mean",5,505154,158245,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_median",5,500996,157615,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_stddev",5,9267.33,3764.78,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16384/manual_time_mean",5,596262,207070,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16384/manual_time_median",5,598473,205653,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16384/manual_time_stddev",5,9665.14,7064.47,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/65536/manual_time_mean",5,1.03779e+06,469844,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/65536/manual_time_median",5,1.04054e+06,474189,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/65536/manual_time_stddev",5,11922.8,9165.81,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/262144/manual_time_mean",5,3.4894e+06,1.94935e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/262144/manual_time_median",5,3.48107e+06,1.93705e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/262144/manual_time_stddev",5,41164.9,24282.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1048576/manual_time_mean",5,1.33002e+07,1.05634e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1048576/manual_time_median",5,1.33497e+07,1.05784e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1048576/manual_time_stddev",5,130450,122940,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4194304/manual_time_mean",5,4.91049e+07,3.91967e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4194304/manual_time_median",5,4.93188e+07,3.92576e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4194304/manual_time_stddev",5,414382,659039,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16777216/manual_time_mean",5,1.66393e+08,1.41689e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16777216/manual_time_median",5,1.65924e+08,1.41234e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16777216/manual_time_stddev",5,971946,1.12355e+06,ns,,,,,
